# k =   0.000000   0.000000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.88938776E+00  -8.51937870E+00   3.70009064E-01
# Error est. for CH(vbm) CH(cbm) diff =   6.51645509E-01   5.84781699E-01  -6.68638096E-02
#    Nb          CH(vbm)          CH(cbm)             diff
     13  -7.01127697E+00  -6.55628144E+00   4.54995525E-01
     14  -7.09127160E+00  -6.66241158E+00   4.28860023E-01
     15  -7.16460289E+00  -6.74124303E+00   4.23359862E-01
     16  -7.24502847E+00  -6.80790639E+00   4.37122078E-01
     17  -7.31445521E+00  -6.87344936E+00   4.41005848E-01
     18  -7.37154527E+00  -6.93019347E+00   4.41351801E-01
     19  -7.42270345E+00  -6.98693724E+00   4.35766212E-01
     20  -7.47596318E+00  -7.03041162E+00   4.45551559E-01
     21  -7.51456098E+00  -7.07355571E+00   4.41005273E-01
     22  -7.55776484E+00  -7.11837298E+00   4.39391862E-01
     23  -7.59356647E+00  -7.15302277E+00   4.40543703E-01
     24  -7.61970286E+00  -7.18314372E+00   4.36559140E-01
     25  -7.65761270E+00  -7.21302553E+00   4.44587170E-01
     26  -7.68774100E+00  -7.23995249E+00   4.47788516E-01
     27  -7.71370332E+00  -7.26623549E+00   4.47467826E-01
     28  -7.73311921E+00  -7.28996790E+00   4.43151308E-01
     29  -7.75450309E+00  -7.30892083E+00   4.45582261E-01
     30  -7.77366754E+00  -7.32790426E+00   4.45763281E-01
     31  -7.79033500E+00  -7.34638543E+00   4.43949576E-01
     32  -7.80472081E+00  -7.36312562E+00   4.41595193E-01
     33  -7.82187760E+00  -7.37791858E+00   4.43959025E-01
     34  -7.84178192E+00  -7.39387365E+00   4.47908272E-01
# k =   0.000000   0.250000   0.500000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.33748338E+00  -7.80383749E+00   5.33645884E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.15095021E-01   4.93707316E-01  -2.13877053E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.26123405E-01  -6.83103568E-01   2.43019837E-01
      2  -1.82123313E+00  -1.26366249E+00   5.57570632E-01
      3  -2.86149872E+00  -1.89682711E+00   9.64671611E-01
      4  -5.15022473E+00  -2.26705260E+00   2.88317213E+00
      5  -5.41776619E+00  -4.27654908E+00   1.14121711E+00
      6  -5.74659117E+00  -4.85172440E+00   8.94866764E-01
      7  -6.04729419E+00  -5.23856939E+00   8.08724798E-01
      8  -6.29609102E+00  -5.61353831E+00   6.82552709E-01
      9  -6.48413299E+00  -5.86068190E+00   6.23451089E-01
     10  -6.67404896E+00  -6.03171246E+00   6.42336498E-01
     11  -6.79713716E+00  -6.19056204E+00   6.06575113E-01
     12  -6.91757963E+00  -6.32076374E+00   5.96815891E-01
     13  -7.00887543E+00  -6.46639932E+00   5.42476104E-01
     14  -7.08446004E+00  -6.56504700E+00   5.19413041E-01
     15  -7.15722678E+00  -6.64759626E+00   5.09630526E-01
     16  -7.23286902E+00  -6.71321602E+00   5.19652996E-01
     17  -7.30341090E+00  -6.78432381E+00   5.19087087E-01
     18  -7.36132122E+00  -6.84653588E+00   5.14785347E-01
     19  -7.41321187E+00  -6.90905809E+00   5.04153781E-01
     20  -7.46474784E+00  -6.95121774E+00   5.13530109E-01
     21  -7.50366919E+00  -6.99307595E+00   5.10593237E-01
     22  -7.54464876E+00  -7.03428091E+00   5.10367852E-01
     23  -7.57916906E+00  -7.06735931E+00   5.11809748E-01
     24  -7.60539532E+00  -7.09845326E+00   5.06942065E-01
     25  -7.64217334E+00  -7.12889166E+00   5.13281686E-01
     26  -7.67144663E+00  -7.15645146E+00   5.14995175E-01
     27  -7.69777644E+00  -7.18351790E+00   5.14258547E-01
     28  -7.71689164E+00  -7.20688086E+00   5.10010776E-01
     29  -7.73737012E+00  -7.22510063E+00   5.12269493E-01
     30  -7.75635664E+00  -7.24437060E+00   5.11986039E-01
     31  -7.77254045E+00  -7.26235205E+00   5.10188401E-01
     32  -7.78664852E+00  -7.27878935E+00   5.07859169E-01
     33  -7.80320894E+00  -7.29422769E+00   5.08981252E-01
     34  -7.82238836E+00  -7.31013018E+00   5.12258179E-01
# k =   0.000000   0.250000   0.750000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.55778486E+00  -8.15385629E+00   4.03928576E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.63158591E-01   5.44343415E-01  -1.88151762E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.52586631E-01  -7.15376190E-01   1.37210442E-01
      2  -1.79658222E+00  -1.33713613E+00   4.59446089E-01
      3  -2.84436804E+00  -1.98419281E+00   8.60175228E-01
      4  -5.16900924E+00  -2.36920150E+00   2.79980775E+00
      5  -5.41929933E+00  -4.31253091E+00   1.10676842E+00
      6  -5.74356317E+00  -4.71513697E+00   1.02842621E+00
      7  -6.08639022E+00  -5.28561120E+00   8.00779025E-01
      8  -6.35581994E+00  -5.73312568E+00   6.22694264E-01
      9  -6.53832966E+00  -5.97977404E+00   5.58555618E-01
     10  -6.74586861E+00  -6.17748044E+00   5.68388167E-01
     11  -6.88287289E+00  -6.36744878E+00   5.15424115E-01
     12  -7.01524904E+00  -6.50601360E+00   5.09235438E-01
     13  -7.10656659E+00  -6.65158201E+00   4.54984575E-01
     14  -7.19280673E+00  -6.78162577E+00   4.11180957E-01
     15  -7.27269143E+00  -6.87865948E+00   3.94031948E-01
     16  -7.35380900E+00  -6.95100023E+00   4.02808773E-01
     17  -7.42701933E+00  -7.02283875E+00   4.04180586E-01
     18  -7.49180455E+00  -7.09414554E+00   3.97659010E-01
     19  -7.54985383E+00  -7.16731935E+00   3.82534479E-01
     20  -7.60656901E+00  -7.21347442E+00   3.93094589E-01
     21  -7.64801718E+00  -7.25927554E+00   3.88741641E-01
     22  -7.69247486E+00  -7.30594338E+00   3.86531482E-01
     23  -7.72951749E+00  -7.34210669E+00   3.87410799E-01
     24  -7.75804913E+00  -7.37680812E+00   3.81241008E-01
     25  -7.79914832E+00  -7.41020244E+00   3.88945885E-01
     26  -7.83112857E+00  -7.43952859E+00   3.91599984E-01
     27  -7.86029646E+00  -7.47033808E+00   3.89958377E-01
     28  -7.87985450E+00  -7.49483890E+00   3.85015604E-01
     29  -7.90302068E+00  -7.51632933E+00   3.86691347E-01
     30  -7.92210885E+00  -7.53704422E+00   3.85064634E-01
     31  -7.94012705E+00  -7.55683448E+00   3.83292576E-01
     32  -7.95515325E+00  -7.57530443E+00   3.79848825E-01
     33  -7.97338884E+00  -7.59215074E+00   3.81238095E-01
     34  -7.99462627E+00  -7.60951287E+00   3.85113400E-01
# k =   0.000000   0.500000   0.000000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.64247360E+00  -8.54620848E+00   9.62651168E-02
# Error est. for CH(vbm) CH(cbm) diff =   5.74625315E-01   5.59553449E-01  -1.50718660E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -8.30997765E-01  -8.96598801E-01  -6.56010364E-02
      2  -1.80382728E+00  -1.84675096E+00  -4.29236755E-02
      3  -3.37305782E+00  -2.46511003E+00   9.07947783E-01
      4  -5.24709209E+00  -2.69624983E+00   2.55084226E+00
      5  -5.48076984E+00  -4.82055355E+00   6.60216290E-01
      6  -5.76435334E+00  -5.07973188E+00   6.84621456E-01
      7  -6.11767091E+00  -5.79325442E+00   3.24416492E-01
      8  -6.40579700E+00  -6.18745117E+00   2.18345832E-01
      9  -6.59895742E+00  -6.39564834E+00   2.03309078E-01
     10  -6.80322717E+00  -6.54105210E+00   2.62175071E-01
     11  -6.93848149E+00  -6.71230402E+00   2.26177470E-01
     12  -7.07698616E+00  -6.87483645E+00   2.02149713E-01
     13  -7.16630438E+00  -7.02247334E+00   1.43831037E-01
     14  -7.24945428E+00  -7.13357461E+00   1.15879675E-01
     15  -7.32687243E+00  -7.21603942E+00   1.10833012E-01
     16  -7.41197739E+00  -7.31232460E+00   9.96527937E-02
     17  -7.49226418E+00  -7.38187602E+00   1.10388169E-01
     18  -7.55439587E+00  -7.45704663E+00   9.73492412E-02
     19  -7.61500763E+00  -7.52464642E+00   9.03612107E-02
     20  -7.67035390E+00  -7.57304381E+00   9.73100882E-02
     21  -7.71040091E+00  -7.62471034E+00   8.56905726E-02
     22  -7.75838174E+00  -7.67098328E+00   8.73984607E-02
     23  -7.79672877E+00  -7.71078244E+00   8.59463261E-02
     24  -7.82504650E+00  -7.74653223E+00   7.85142694E-02
     25  -7.86868413E+00  -7.78577097E+00   8.29131649E-02
     26  -7.90190342E+00  -7.81304619E+00   8.88572341E-02
     27  -7.93042438E+00  -7.84118226E+00   8.92421228E-02
     28  -7.95107854E+00  -7.86681260E+00   8.42659464E-02
     29  -7.97355835E+00  -7.88973411E+00   8.38242402E-02
     30  -7.99387503E+00  -7.91153476E+00   8.23402664E-02
     31  -8.01223938E+00  -7.93250470E+00   7.97346831E-02
     32  -8.02724937E+00  -7.95088502E+00   7.63643469E-02
     33  -8.04569370E+00  -7.97019694E+00   7.54967554E-02
     34  -8.06784828E+00  -7.98665503E+00   8.11932508E-02
# k =   0.000000   0.500000   0.250000 spin = 1
# <ib|Sigma_CH[1..Nb]|ib> (eV), partial and symmetrized sum with up to Nb "inner" bands
# Reporting only VBM and CBM, use 'full_ch_conv_log 1' keyword for full report.
# 1/N extrap for CH(vbm) CH(cbm) diff =  -8.33528169E+00  -7.80223835E+00   5.33043342E-01
# Error est. for CH(vbm) CH(cbm) diff =   5.13238513E-01   4.91871709E-01  -2.13668033E-02
#    Nb          CH(vbm)          CH(cbm)             diff
      1  -9.02601978E-01  -6.70469337E-01   2.32132641E-01
      2  -1.82071797E+00  -1.26426302E+00   5.56454953E-01
      3  -2.85599643E+00  -1.85981642E+00   9.96180004E-01
      4  -5.14968462E+00  -2.26719960E+00   2.88248501E+00
      5  -5.42393143E+00  -4.24538114E+00   1.17855029E+00
      6  -5.74503532E+00  -4.84908246E+00   8.95952859E-01
      7  -6.04036275E+00  -5.20011892E+00   8.40243832E-01
      8  -6.29568686E+00  -5.61434046E+00   6.81346405E-01
      9  -6.48648480E+00  -5.85937033E+00   6.27114469E-01
     10  -6.67355619E+00  -6.03251136E+00   6.41044833E-01
     11  -6.79572550E+00  -6.19260367E+00   6.03121822E-01
     12  -6.91686303E+00  -6.31829333E+00   5.98569696E-01
     13  -7.00714766E+00  -6.45903660E+00   5.48111060E-01
     14  -7.08439899E+00  -6.56553803E+00   5.18860965E-01
     15  -7.15528457E+00  -6.64849380E+00   5.06790777E-01
     16  -7.23277530E+00  -6.71348542E+00   5.19289875E-01
     17  -7.30179596E+00  -6.78387904E+00   5.17916922E-01
     18  -7.36118648E+00  -6.84673935E+00   5.14447130E-01
     19  -7.41326664E+00  -6.90921335E+00   5.04053296E-01
     20  -7.46458589E+00  -6.95148838E+00   5.13097513E-01
     21  -7.50292868E+00  -6.99193408E+00   5.10994603E-01
     22  -7.54444476E+00  -7.03444499E+00   5.09999767E-01
     23  -7.57957616E+00  -7.06825973E+00   5.11316428E-01
     24  -7.60515441E+00  -7.09882065E+00   5.06333763E-01
